Company,Ticker,CEO,hire date,End Date,YOE,Exec YOE
Fleetcor Technologies,FLT,Ronald F. Clarke,1/1/2003,Present,-1,-1
Conagra Brands,CAG,Sean M. Connolly,1/1/2015,Present,3,23
Omnicom Group,OMC,John D. Wren,1/1/1997,Present,0,25
Wayfair,W,Niraj S. Shah,3/1/2002,Present,3,7
Stewart Information Services,STC,Frederick H. Eppinger,9/1/2017,Present,13,26
Oshkosh,OSK,John C. Pfeifer,4/1/2021,Present,0,27
General Electric,GE,H. Lawrence Culp Jr.,10/1/2018,Present,13,-1
PROG Holdings,PRG,Steven A. Michaels,6/1/2020,Present,0,15
Etsy,ETSY,Joshua G. Silverman,5/1/2017,Present,6,20
Xcel Energy,XEL,Robert C. Frenzel,9/1/2021,Present,0,19
Ares Management,ARES,Michael J. Arougheti,1/1/2004,Present,0,0
Knight-Swift Transportation Holdings,KNX,David A. Jackson,8/1/2021,Present,0,3
Xerox Holdings,XRX,Steve J. Bandrowczak,9/1/2022,Present,0,35
Big Lots,BIG,Bruce K. Thorn,9/1/2018,Present,-1,-1
Lennox International,LII,Alok Maskara,1/1/2022,Present,5,29
Avient,AVNT,Robert M. Patterson,,,,
Diamondback Energy,FANG,Travis D. Stice,,,,
Hologic,HOLX,Stephen P. MacMillan,,,,
Popular,BPOP,Ignacio Alvarez,,,,
Travel + Leisure,TNL,Michael D. Brown,,,,
Ecolab,ECL,Christophe Beck,,,,
Keysight Technologies,KEYS,Satish Dhanasekaran,,,,
AutoNation,AN,Michael M. Manley,,,,
Sonoco Products,SON,R. Howard Coker,,,,
Surgery Partners,SGRY,J. Eric Evans,,,,
Assurant,AIZ,Keith W. Demmings,,,,
Yum Brands,YUM,David W. Gibbs,,,,
Aramark,ARMK,John J. Zillmer,,,,
Performance Food Group,PFGC,George L. Holm,,,,
Caesars Entertainment,CZR,Thomas R. Reeg,,,,
Electronic Arts,EA,Andrew Wilson,,,,
Lithia Motors,LAD,Bryan B. DeBoer,,,,
Carlyle Group,CG,Harvey M. Schwartz,,,,
Illinois Tool Works,ITW,E. Scott Santi,,,,
Service Corp. International,SCI,Thomas L. Ryan,,,,
ESAB,ESAB,Shyam P. Kambeyanda,,,,
Petco Health and Wellness,WOOF,Ronald Coughlin Jr.,,,,
FTI Consulting,FCN,Steven H. Gunby,,,,
Activision Blizzard,ATVI,Robert A. Kotick,,,,
Eli Lilly,LLY,David A. Ricks,,,,
Nucor,NUE,Leon J. Topalian,,,,
Skechers U.S.A.,SKX,Robert Greenberg,,,,
OneMain Holdings,OMF,Douglas H. Shulman,,,,
ABM Industries,ABM,Scott B. Salmirs,,,,
Huntington Ingalls Industries,HII,Christopher D. Kastner,,,,
Matador Resources,MTDR,Joseph Wm. Foran,,,,
Avnet,AVT,Philip R. Gallagher,,,,
Concentrix,CNXC,Christopher A. Caldwell,,,,
ChampionX,CHX,Sivasankaran Somasundaram,,,,
Alpha Metallurgical Resources,AMR,Charles Andrew Eidson,,,,
Builders FirstSource,BLDR,Dave Rush,,,,
Ally Financial,ALLY,Jeffrey J. Brown,,,,
